organisasjonsnummer,navn,antallAnsatte,adresse,latitude,longitude,naeringskode_beskrivelse,hjemmeside,kontakt_navn,kontakt_rolle,kontakt_telefon,kontakt_epost,salgsnotater,proff_url
990666466,RINGNES SUPPLY COMPANY AS,764,"Bryggeriveien 2, 1481 HAGAN",59.99155188111619,10.934371053812008,Produksjon av øl,https://www.ringnes.no,Patricia Da Costa Gomes Medina,Daglig leder,+4722069500,ringnes@ringnes.no,"Norges største bryggeri med 764 ansatte - massivt samkjøringspotensial. Del av Carlsberg-konsernet med sterke bærekraftsmål. Mange ansatte på skift som kan dele transport. Industriområde med flere potensielle samkjøringspartnere.",https://www.proff.no/bransjesøk?q=990666466
831018682,WÜRTH NORGE AS,672,"Morteveien 12, 1481 HAGAN",59.987197743716436,10.942183830995567,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",https://www.wuerth.no,Gøran Mago Ramstad,Daglig leder,+4746401500,kontakt@wuerth.no,"672 ansatte - stor arbeidsgiver på Hagan. Tysk konsern med fokus på bærekraft. Kombinasjon av lager/logistikk og salg - ulike skiftider kan optimaliseres. Nær flere andre industribedrifter for samkjøring.",https://www.proff.no/bransjesøk?q=831018682
984460198,DIPLOM-IS AS,298,"Brennaveien 10, 1481 HAGAN",59.99328348691529,10.918062846472019,Produksjon av iskrem og andre spiselige isprodukter,https://www.diplom-is.no,Martin Kjekshus,Administrerende direktør,02001,firmapost@diplom-is.no,"298 ansatte i produksjon - mange på samme skift. Del av TINE-konsernet med sterke miljømål. Produksjonsbedrift med faste arbeidstider. Nær DVS Entreprenør og Site Service for samkjøringsnettverk.",https://www.proff.no/bransjesøk?q=984460198
936659128,GARDA SIKRING AS,371,"Stamveien 8, 1481 HAGAN",59.98477371543494,10.944551314029313,Produksjon av metallkonstruksjoner og deler,https://www.gardasikring.no,Kai Even Rostad Øvregard,Daglig leder,+4740002101,post@gardasikring.no,"371 ansatte - stor produksjonsbedrift. Produserer sikkerhetsgjerder og porter. Mange feltarbeidere som kan koordinere transport. Del av Heras Group - internasjonalt konsern med ESG-fokus.",https://www.proff.no/bransjesøk?q=936659128
996427544,SITE SERVICE AS,231,"Industriveien 18, 1481 HAGAN",59.99151644900455,10.918950223472876,Bygging av anlegg for elektrisitet og telekommunikasjon på land,,Terje Hoemsnes,Daglig leder,,post@siteservice.no,"231 ansatte - entreprenør med mange montører i felt. Ansatte reiser til ulike prosjekter - perfekt for samkjøring. Elektro-bransjen med fokus på grønn teknologi. Samme industriområde som mange andre bedrifter.",https://www.proff.no/bransjesøk?q=996427544
975381781,VECTURA AS,197,"Destilleriveien 11, 1481 HAGAN",59.98883033495629,10.947691808453301,Agenturhandel med nærings- og nytelsesmidler,,Ken Ove Nyhus,Daglig leder,+4767065000,,"197 ansatte i logistikk/lager. Norges ledende logistikkselskap for vin og drikkevarer. Del av Anora-konsernet. Lagerarbeidere med faste skift - ideelt for samkjøring.",https://www.proff.no/bransjesøk?q=975381781
910235915,MEDIEHUSET ANDVORD AS,101,"Brennaveien 20B, 1481 HAGAN",59.989844585762555,10.907881579878579,Trykking ellers,,Nils Jacob Førli,Daglig leder,+4722726600,ag@andvord.no,"101 ansatte i grafisk produksjon. ISO 9001 og 27001 sertifisert - fokus på kvalitet og bærekraft. Trykkeribransjen med faste arbeidstider. Nær flere industribedrifter på Hagan.",https://www.proff.no/bransjesøk?q=910235915
979677863,DVS ENTREPRENØR AS,73,"Brennaveien 6, 1481 HAGAN",59.99347392298412,10.922075806463774,Snekkerarbeid,https://www.dvs.no,Leif Erik Mortensen,Daglig leder,+4722105551,post@dvs.no,"73 ansatte - byggentreprenør med prosjektarbeidere. Del av Fasadgruppen - nordisk konsern med miljøfokus. Snekkerarbeid på byggeplasser - koordinert transport til prosjekter. Sentral godkjenning.",https://www.proff.no/bransjesøk?q=979677863
976638654,HOLUMSKOGEN SKOLE,60,"Morteveien 19, 1481 HAGAN",59.984295768153615,10.9379627362556,Ordinær grunnskoleundervisning,https://www.nittedal.kommune.no/enheter/nittedalsskolen/holumskogen-skole/,Vanessa Humlekjær,Rektor,+4791002734,vanessa.humlekjer@nittedal.kommune.no,"60 ansatte med faste arbeidstider. Offentlig arbeidsgiver - foregangsfigur for miljøtiltak. Lærere og ansatte med like arbeidstider. Nær barnehage og andre offentlige institusjoner.",https://www.proff.no/bransjesøk?q=976638654
914287987,KALMAR NORWAY AS,57,"Carl Bergersens vei 5, 1481 HAGAN",59.98411485549067,10.927683028437842,Engroshandel med maskiner og utstyr ellers,,Bredo Steen-Gundersen,Daglig leder,,,"57 ansatte i maskinutstyr. Del av Kalmar Oyj - finsk konsern med bærekraftsfokus. Leverer trucker og logistikkløsninger. Kombinasjon av service og salg.",https://www.proff.no/bransjesøk?q=914287987
985214034,KARLSEN & NORDSETH ENTREPRENØR AS,51,"Gjelleråsveien 2, 1481 HAGAN",59.988555977547726,10.932869556828923,Oppføring av bygninger,,Line Christin Karlsen,Daglig leder,+4767073830,post@karlsen-nordseth.no,"51 ansatte - spesialist på antikvarisk rehabilitering. Håndverkere som reiser til prosjekter - samkjøringspotensial. Familieeid bedrift med lokal forankring. Byggentreprenør i vekst.",https://www.proff.no/bransjesøk?q=985214034
856818462,DIRECT HOUSE OSLO AS,41,"Industriveien 2, 1481 HAGAN",59.990840388793956,10.911564026182761,Pakkevirksomhet,,Geir Sture,Daglig leder (morselskap),+4746870000,,"41 ansatte i pakking/logistikk. Del av Direct House-konsernet. Lagerarbeid med faste skift. Industriområde med flere samkjøringsmuligheter.",https://www.proff.no/bransjesøk?q=856818462
936584462,ELLCO ETIKETT TRYKK AS,36,"Morteveien 4, 1481 HAGAN",59.98790645039892,10.93955425597106,Trykking ellers,https://www.ellco.no,Christian Egedius,Daglig leder/Styrets leder,+4767062040,mail@ellco.no,"36 ansatte i etiketttrykking. Familiebedrift siden 1985. Produksjonsbedrift med faste arbeidstider. Moderne produksjonsutstyr - fremtidsrettet bedrift.",https://www.proff.no/bransjesøk?q=936584462
975301990,MORTETJERN BARNEHAGE,31,"Ørekyteveien 1, 1481 HAGAN",59.98332515294052,10.93690042525635,Førskoleundervisning og drift av barnehager,,Florian Olberg,Styrer,+4747690752,florian.olberg@nittedal.kommune.no,"31 ansatte med faste arbeidstider. Kommunal barnehage - offentlig arbeidsgiver. Nær Holumskogen skole - mulighet for samkjøring med skoleansatte. Miljøbevisst offentlig sektor.",https://www.proff.no/bransjesøk?q=975301990
992846070,UNILAMP NORDEN AS,29,"Industriveien 11, 1481 HAGAN",59.98977652675454,10.911965191417346,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",https://www.unilamp.no,Karl Mario Seland,Daglig leder,+4798499849,karl.mario.seland@unilamp.no,"29 ansatte i belysningsbransjen. Nordisk selskap med kontor og lager. LED-belysning - grønn teknologi. Sentralt i industriområdet.",https://www.proff.no/bransjesøk?q=992846070
980409821,VARIA MEK VERKSTED AS,28,"Industriveien 7, 1481 HAGAN",59.989628216992074,10.911042321856998,Bearbeiding av metaller,https://www.varia.no,Tommy Freitag,Daglig leder,+4767061321,varia.con@varia.no,"28 ansatte i mekanisk verksted. 1500 kvm verksted + avdeling på Furuset. Plate- og mekanisk arbeid - faste arbeidstider. Lang erfaring og dyktige fagarbeidere.",https://www.proff.no/bransjesøk?q=980409821
970888160,GA MEKNETT AS,27,"Masteveien 6, 1481 HAGAN",59.98943742728863,10.916768151186313,Produksjon av kraner og ventiler ellers,,Arild Willersrud,Daglig leder,+4722646550,arvid@gassarmatur.no,"27 ansatte i ventilproduksjon. Produserer ventiler og gassarmatur. Produksjonsbedrift med faste skift. Del av Willersrud Holding.",https://www.proff.no/bransjesøk?q=970888160
918866949,OSLOFINÉR AS,25,"Destilleriveien 5, 1481 HAGAN",59.99144119952011,10.939710962440591,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",https://www.oslofiner.no/,Henriette Bohman Lillebekk,Daglig leder/Styrets leder,+4723006160,post@oslofiner.no,"25 ansatte i trelastbransjen. Tradisjonell leverandør til treindustrien. Engroshandel med faste arbeidstider. Nær flere industribedrifter.",https://www.proff.no/bransjesøk?q=918866949
963447086,MOREK AS,23,"Industriveien 25, 1481 HAGAN",59.990328981375704,10.9233993417645,Engroshandel med deler og utstyr for motorvogner,https://www.morek.no,Henrik Fagerland,Daglig leder,+4767063500,,"23 ansatte - bildeler og rekvisita. Flere avdelinger i Norge. Engroshandel med kombinasjon av lager og salg. Del av MH Holding.",https://www.proff.no/bransjesøk?q=963447086
820732022,PÅL KLEVEN DAGLIGVARE AS,22,"Carl Bergersens vei 3, 1481 HAGAN",59.984499017955834,10.928008304346914,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,Pål Arve Kleven,Daglig leder,,,"22 ansatte - REMA 1000 Gjelleråsen. Dagligvarebutikk med skiftarbeid. Del av REMA-kjeden. Lokal arbeidsgiver med mange ansatte.",https://www.proff.no/bransjesøk?q=820732022
933001466,ABSOLUTT RENT AS,19,"Industriveien 14, 1481 HAGAN",59.990601607969786,10.917624336977225,Rengjøring av bygninger,,Flemming Jørgensen,Daglig leder,,,"19 ansatte i rengjøring. Ansatte reiser til ulike oppdrag - perfekt for koordinert transport. Rengjøringsbransjen med varierte arbeidstider. Lokalt forankret.",https://www.proff.no/bransjesøk?q=933001466
817967272,SØRAN AS,18,"Industriveien 13, 1481 HAGAN",59.98962230013365,10.912691328128705,Produksjon av andre metallvarer ikke nevnt annet sted,,Arild Frøberg,Daglig leder,+4767064060,post@soran.no,"18 ansatte - tak og ventilasjon. Grunnlagt 1965 - lang historie. Komplett løsninger for tak og ventilasjon. Service og vedlikehold - feltarbeidere.",https://www.proff.no/bransjesøk?q=817967272
917773475,BLACK PEPPER RESTAURANT OG BAR BERNARD,18,"Brådalsstubben 20, 1481 HAGAN",59.98482637532588,10.926380023674819,Drift av restauranter,,Ikke registrert,Styreleder/Eier,,,"18 ansatte i restaurant. Indisk restaurant - skiftarbeid. Servicebransjen med kvelds- og helgearbeid. Lokalt serveringssted.",https://www.proff.no/bransjesøk?q=917773475
956623103,AS SOLREGN,16,"Industriveien 5, 1481 HAGAN",59.99032416282752,10.910741825406822,Regnskapsføring og bokføring,https://www.solregn.no,Nina Sollie Anderssen,Daglig leder,+4767067300,post@solregn.no,"16 ansatte i regnskap. Autorisert regnskapsfører. Kontorarbeid med faste arbeidstider. Sentralt i industriområdet.",https://www.proff.no/bransjesøk?q=956623103
986680829,ROSMEK AS,15,"Industriveien 9, 1481 HAGAN",59.990158421592355,10.911519306424971,Produksjon av metallkonstruksjoner og deler,https://rosmek.no,Truls Enghaugen,Daglig leder,+4767070993,post@rosmek.no,"15 ansatte i metallproduksjon. Produserer metallkonstruksjoner. Produksjonsbedrift med faste arbeidstider. Nær flere verksteder.",https://www.proff.no/bransjesøk?q=986680829
